GAMMA1ALPHA0.7EPSILON0
165_-345_0:1:0
165_-345_0:0:0
180_-285_21:1:0
180_-285_21:0:0
180_-240_20:1:0
180_-240_20:0:0
195_-165_18:1:0
195_-165_18:0:0
210_-105_16:1:0
210_-105_16:0:0
255_15_21:1:0
255_15_21:0:0
270_120_19:1:0
270_120_19:0:-0.000877024
405_150_18:1:0
405_150_18:0:-8.11502e-11
405_165_18:1:0
405_165_18:0:0
420_240_16:1:-0.120585
420_240_16:0:-4.5309e-14
435_315_13:1:0
435_315_13:0:0
495_-60_6:1:0
495_-60_6:0:0
495_-120_-6:1:0
495_-120_-6:0:0
450_-60_-4:1:0
450_-60_-4:0:-8.15788e-10
450_-120_20:1:0
450_-120_20:0:0
345_0_22:1:0
345_0_22:0:0
240_360_12:1:-75.0624
240_360_12:0:-0.846229
195_495_-5:1:-92.5573
195_495_-5:0:-33.9945
480_60_14:1:0
480_60_14:0:0
495_120_12:1:0
495_120_12:0:0
495_135_11:1:0
495_135_11:0:0
300_-300_24:1:0
300_-300_24:0:-210
315_-240_23:1:0
315_-240_23:0:0
315_-225_23:1:0
315_-225_23:0:0
315_-195_22:1:0
315_-195_22:0:0
315_-180_22:1:0
315_-180_22:0:0
285_-330_24:1:0
285_-330_24:0:-210
285_-315_24:1:0
285_-315_24:0:0
285_-285_23:1:0
285_-285_23:0:0
300_-255_23:1:0
300_-255_23:0:0
300_-240_22:1:0
300_-240_22:0:0
300_-225_22:1:0
300_-225_22:0:0
390_480_4:1:-0.00316372
390_480_4:0:-3.22104e-08
480_225_-1:1:0
480_225_-1:0:-4.3172e-07
345_255_14:1:-3.76084
345_255_14:0:-0.000241648
480_480_-7:1:-5.2071e-06
480_480_-7:0:-3.2368e-06
480_345_10:1:-8.06591e-08
480_345_10:0:-4.07532e-12
270_270_15:1:0
270_270_15:0:-5.29963e-07
285_300_14:1:0
285_300_14:0:-2.40446e-06
330_-240_24:1:0
330_-240_24:0:0
330_-225_23:1:0
330_-225_23:0:0
330_-195_23:1:0
330_-195_23:0:0
330_-180_22:1:0
330_-180_22:0:0
330_465_5:1:-0.781327
330_465_5:0:-0.00987067
150_60_19:1:0
150_60_19:0:-3.11711
390_-150_23:1:0
390_-150_23:0:-4.29246e-05
390_270_14:1:-0.292289
390_270_14:0:-2.17563e-07
420_390_9:1:-0.00181594
420_390_9:0:-9.82123e-14
255_465_6:1:-36.5314
255_465_6:0:-1.42419
300_420_9:1:0
300_420_9:0:-0.134813
390_495_-7:1:-0.00213695
390_495_-7:0:-2.13546e-05
480_225_10:1:0
480_225_10:0:-2.85354e-20
270_-240_19:1:0
270_-240_19:0:-0.606229
390_-285_24:1:0
390_-285_24:0:-210
345_495_-1:1:0
345_495_-1:0:-0.020202
270_435_8:1:-11.8983
270_435_8:0:-0.688223
285_-150_16:1:0
285_-150_16:0:-210.003
360_495_-6:1:0
360_495_-6:0:-0.00825351
285_-225_19:1:0
285_-225_19:0:0
195_-180_13:1:0
195_-180_13:0:-74.0711
345_180_18:1:0
345_180_18:0:0
450_495_2:1:0
450_495_2:0:-1.03342e-34
495_375_7:1:-6.66892e-08
495_375_7:0:-2.34484e-10
375_480_-3:1:-0.00403978
375_480_-3:0:-0.00460777
405_435_8:1:0
405_435_8:0:0
465_165_12:1:0
465_165_12:0:-1.05431e-13
375_450_-1:1:-1.18874
375_450_-1:0:-0.206209
330_435_8:1:0
330_435_8:0:0
345_450_7:1:-0.283515
345_450_7:0:-1.68734e-87
480_495_0:1:-3.77072e-07
480_495_0:0:-3.17695e-14
495_210_10:1:0
495_210_10:0:0
315_-60_24:1:0
315_-60_24:0:-0.110577
330_-30_23:1:0
330_-30_23:0:0
330_15_22:1:-1.38452
330_15_22:0:-0.00759034
345_105_20:1:0
345_105_20:0:-0.00211482
390_330_13:1:0
390_330_13:0:0
405_420_9:1:0
405_420_9:0:0
420_450_7:1:0
420_450_7:0:0
435_480_4:1:-2.29744e-07
435_480_4:0:-3.68191e-35
450_495_1:1:-2.49743e-06
450_495_1:0:-2.04797e-06
465_495_1:1:-1.15898e-07
465_495_1:0:-1.8979e-06
165_-30_8:1:0
165_-30_8:0:0
180_-75_11:1:-190.768
180_-75_11:0:-43.899
180_-120_18:1:0
180_-120_18:0:0
210_-60_12:1:0
210_-60_12:0:0
315_495_-6:1:-1.79373
315_495_-6:0:-0.813431
195_-45_7:1:-39.6524
195_-45_7:0:-13.7143
435_-225_24:1:0
435_-225_24:0:-210
435_-210_24:1:0
435_-210_24:0:0
450_-180_23:1:0
450_-180_23:0:0
450_-165_23:1:0
450_-165_23:0:0
450_-135_22:1:0
450_-135_22:0:0
450_-120_22:1:0
450_-120_22:0:0
465_0_19:1:0
465_0_19:0:0
480_15_18:1:0
480_15_18:0:0
480_30_18:1:0
480_30_18:0:0
480_45_17:1:0
480_45_17:0:0
480_60_17:1:0
480_60_17:0:0
495_90_16:1:0
495_90_16:0:0
495_120_15:1:0
495_120_15:0:0
375_-210_20:1:0
375_-210_20:0:0
210_360_12:1:0
210_360_12:0:-37.5683
420_495_-6:1:0
420_495_-6:0:0
165_360_12:1:-164.018
165_360_12:0:-44.8344
360_480_4:1:-0.0256768
360_480_4:0:-3.00077e-06
435_495_-6:1:0
435_495_-6:0:0
240_-180_18:1:0
240_-180_18:0:-210
285_-75_24:1:0
285_-75_24:0:-1.44223
255_-330_22:1:0
255_-330_22:0:-210
270_-255_20:1:0
270_-255_20:0:0
270_-225_20:1:0
270_-225_20:0:0
285_-150_18:1:0
285_-150_18:0:0
210_-150_23:1:0
210_-150_23:0:-40.2318
180_-120_11:1:-137.602
180_-120_11:0:-257.661
180_-105_10:1:0
180_-105_10:0:0
270_-135_22:1:0
270_-135_22:0:0
285_-240_19:1:0
285_-240_19:0:0
285_-210_18:1:0
285_-210_18:0:0
270_-165_13:1:0
270_-165_13:0:0
285_-120_11:1:0
285_-120_11:0:0
435_90_17:1:-0.00054012
435_90_17:0:-6.16747e-14
345_480_3:1:-1.29921
345_480_3:0:-0.108836
480_375_9:1:0
480_375_9:0:-1.39848e-34
495_375_8:1:-6.69302e-08
495_375_8:0:-9.37729e-11
390_-120_23:1:-0.592879
390_-120_23:0:-2.6491e-05
405_-75_22:1:0
405_-75_22:0:0
495_360_7:1:-3.23681e-08
495_360_7:0:-1.06795e-09
315_495_2:1:-2.82194
315_495_2:0:-1.56405
345_495_-7:1:-0.291652
345_495_-7:0:-0.617389
360_30_19:1:-1.575
360_30_19:0:-1.36332e-05
180_135_19:1:-186.258
180_135_19:0:-7.27012
195_240_16:1:-136.213
195_240_16:0:-0.557767
420_465_-1:1:-4.07753e-05
420_465_-1:0:-0.000484297
345_-240_20:1:0
345_-240_20:0:0
345_-210_20:1:0
345_-210_20:0:0
345_-195_19:1:0
345_-195_19:0:0
195_-105_18:1:-124.146
195_-105_18:0:-147.688
240_-150_24:1:0
240_-150_24:0:0
255_-180_22:1:0
255_-180_22:0:0
270_-75_19:1:-6.57661
270_-75_19:0:-19.2224
375_-90_22:1:-0.00816639
375_-90_22:0:-0.000707349
405_-255_10:1:0
405_-255_10:0:0
225_-180_12:1:0
225_-180_12:0:0
225_-150_11:1:0
225_-150_11:0:0
435_435_6:1:-1.30942e-05
435_435_6:0:-8.14874e-13
375_-120_20:1:0
375_-120_20:0:0
255_-210_22:1:0
255_-210_22:0:0
270_-120_19:1:0
270_-120_19:0:-1.0349
270_-90_19:1:-5.57048
270_-90_19:0:-12.5552
375_480_-4:1:0
375_480_-4:0:-0.0633162
150_105_17:1:-152.467
150_105_17:0:-33.9283
240_420_9:1:-61.8335
240_420_9:0:-0.201246
240_435_8:1:-35.1181
240_435_8:0:-0.0974402
210_300_14:1:-85.29
210_300_14:0:-6.18113
225_375_11:1:-73.3753
225_375_11:0:-1.27082
330_-60_24:1:0
330_-60_24:0:0
345_15_22:1:0
345_15_22:0:-0.0253011
345_30_21:1:0
345_30_21:0:0
360_135_19:1:0
360_135_19:0:0
360_150_18:1:0
360_150_18:0:0
210_330_13:1:-68.6382
210_330_13:0:-0.388151
375_240_16:1:0
375_240_16:0:0
375_270_15:1:0
375_270_15:0:0
390_285_14:1:0
390_285_14:0:0
390_300_14:1:0
390_300_14:0:0
390_315_13:1:0
390_315_13:0:0
405_345_12:1:0
405_345_12:0:0
405_375_11:1:0
405_375_11:0:0
420_405_9:1:-0.00976814
420_405_9:0:-2.29162e-13
435_435_7:1:-0.000309082
435_435_7:0:-1.9179e-13
435_465_5:1:-4.6993e-06
435_465_5:0:-2.98866e-16
450_480_3:1:-5.94895e-06
450_480_3:0:-3.28965e-08
465_480_2:1:-9.38811e-06
465_480_2:0:-5.60229e-07
225_-345_22:1:0
225_-345_22:0:-210
240_-300_21:1:0
240_-300_21:0:0
150_105_13:1:-120.075
150_105_13:0:-29.3921
465_480_-7:1:-1.62132e-05
465_480_-7:0:-6.67549e-06
345_-150_19:1:0
345_-150_19:0:-210
180_-180_14:1:0
180_-180_14:0:-41.812
165_150_17:1:-184.154
165_150_17:0:-1.11467
225_-210_16:1:0
225_-210_16:0:0
255_-270_21:1:0
255_-270_21:0:0
255_-195_19:1:0
255_-195_19:0:0
195_-255_21:1:0
195_-255_21:0:0
345_-315_22:1:0
345_-315_22:0:-210
345_-285_22:1:0
345_-285_22:0:0
360_-240_21:1:0
360_-240_21:0:0
210_-105_14:1:0
210_-105_14:0:0
375_-255_23:1:0
375_-255_23:0:0
330_-255_21:1:0
330_-255_21:0:0
330_-240_20:1:0
330_-240_20:0:0
330_-195_19:1:0
330_-195_19:0:0
345_-165_18:1:0
345_-165_18:0:0
345_-150_18:1:0
345_-150_18:0:0
315_-105_20:1:-2.64523
315_-105_20:0:-210.001
345_-135_17:1:0
345_-135_17:0:0
450_-75_22:1:0
450_-75_22:0:0
450_-60_22:1:0
450_-60_22:0:0
465_-15_21:1:0
465_-15_21:0:0
465_0_20:1:0
465_0_20:0:0
465_30_19:1:0
465_30_19:0:0
480_45_19:1:0
480_45_19:0:0
480_75_18:1:0
480_75_18:0:0
480_90_18:1:0
480_90_18:0:0
480_120_17:1:0
480_120_17:0:0
495_150_16:1:0
495_150_16:0:0
450_-15_22:1:0
450_-15_22:0:0
465_45_20:1:0
465_45_20:0:0
465_90_19:1:0
465_90_19:0:0
465_105_18:1:0
465_105_18:0:0
480_120_18:1:0
480_120_18:0:0
480_165_17:1:0
480_165_17:0:0
480_180_16:1:0
480_180_16:0:0
480_195_16:1:0
480_195_16:0:0
495_225_15:1:0
495_225_15:0:0
480_480_-6:1:0
480_480_-6:0:-8.13396e-09
480_465_-7:1:-4.04038e-06
480_465_-7:0:-4.03992e-07
225_-105_13:1:0
225_-105_13:0:0
240_-90_12:1:0
240_-90_12:0:0
495_435_-5:1:0
495_435_-5:0:-4.74134e-13
285_-165_18:1:0
285_-165_18:0:0
300_-60_14:1:-5.09049
300_-60_14:0:-3.73947
450_330_-5:1:-7.10393e-05
450_330_-5:0:-1.42424e-06
195_-285_19:1:0
195_-285_19:0:0
210_-240_18:1:0
210_-240_18:0:0
225_-165_16:1:0
225_-165_16:0:0
225_-150_15:1:0
225_-150_15:0:-212.318
420_-15_22:1:0
420_-15_22:0:0
435_75_19:1:0
435_75_19:0:0
465_240_14:1:0
465_240_14:0:0
435_480_-7:1:-1.26247e-05
435_480_-7:0:-8.31362e-07
450_465_-1:1:0
450_465_-1:0:-3.06464e-10
465_435_-4:1:0
465_435_-4:0:0
495_390_5:1:-7.52588e-09
495_390_5:0:-1.47655e-10
180_-225_19:1:0
180_-225_19:0:0
420_480_-7:1:-0.000964682
420_480_-7:0:-6.95859e-05
495_225_-3:1:-2.85087e-10
495_225_-3:0:-9.50231e-25
450_480_-7:1:-9.05722e-06
450_480_-7:0:-6.77375e-06
465_465_2:1:-8.86003e-06
465_465_2:0:-5.20512e-06
390_-30_22:1:0
390_-30_22:0:-5.83428e-08
450_240_13:1:-0.000994339
450_240_13:0:-1.53655e-17
465_315_10:1:-1.17845e-07
465_315_10:0:-2.36764e-10
480_345_8:1:-3.5416e-08
480_345_8:0:-6.20063e-10
225_-60_12:1:-19.0601
225_-60_12:0:-45.3894
465_210_14:1:0
465_210_14:0:0
480_255_12:1:0
480_255_12:0:0
480_270_11:1:0
480_270_11:0:0
495_255_7:1:-3.44954e-06
495_255_7:0:-9.16559e-09
465_75_17:1:0
465_75_17:0:0
495_240_11:1:0
495_240_11:0:0
390_465_-4:1:0
390_465_-4:0:0
390_465_-5:1:0
390_465_-5:0:-0.00131698
450_75_18:1:0
450_75_18:0:0
465_135_16:1:0
465_135_16:0:0
465_150_16:1:0
465_150_16:0:0
465_180_15:1:0
465_180_15:0:0
480_210_14:1:0
480_210_14:0:0
480_225_13:1:0
480_225_13:0:0
465_90_16:1:0
465_90_16:0:0
480_180_13:1:0
480_180_13:0:0
465_60_16:1:0
465_60_16:0:0
495_330_7:1:-1.30041e-08
495_330_7:0:-3.11025e-10
345_135_19:1:-3.75518
345_135_19:0:-0.000449392
375_300_14:1:0
375_300_14:0:0
450_465_3:1:-2.48679e-05
450_465_3:0:-6.27106e-07
495_405_-3:1:0
495_405_-3:0:0
195_-180_14:1:0
195_-180_14:0:-130.004
195_-165_13:1:0
195_-165_13:0:0
195_-150_12:1:0
195_-150_12:0:0
210_-105_11:1:0
210_-105_11:0:0
435_405_-2:1:-6.03835e-05
435_405_-2:0:-4.42679e-08
420_-255_24:1:0
420_-255_24:0:0
390_480_-3:1:0
390_480_-3:0:0
405_480_-3:1:0
405_480_-3:0:0
450_-45_19:1:0
450_-45_19:0:0
465_15_17:1:0
465_15_17:0:0
480_105_14:1:0
480_105_14:0:0
165_-60_8:1:0
165_-60_8:0:0
345_-60_22:1:0
345_-60_22:0:0
345_-15_21:1:0
345_-15_21:0:0
360_45_19:1:-2.37515
360_45_19:0:-0.0765392
270_-60_10:1:0
270_-60_10:0:-6.92488
285_-15_7:1:-6.37491
285_-15_7:0:-0.00107753
255_-270_2:1:0
255_-270_2:0:0
330_-285_23:1:0
330_-285_23:0:0
330_-255_22:1:0
330_-255_22:0:0
330_-240_22:1:0
330_-240_22:0:0
345_-180_20:1:0
345_-180_20:0:0
345_-150_20:1:0
345_-150_20:0:0
465_435_-5:1:-2.86697e-08
465_435_-5:0:-5.39301e-09
390_495_-4:1:0
390_495_-4:0:0
450_480_-1:1:0
450_480_-1:0:0
450_480_-2:1:0
450_480_-2:0:0
465_465_-4:1:0
465_465_-4:0:0
465_450_-4:1:0
465_450_-4:0:0
450_465_-4:1:0
450_465_-4:0:0
420_-15_21:1:0
420_-15_21:0:0
420_0_20:1:0
420_0_20:0:0
435_60_18:1:0
435_60_18:0:0
435_75_18:1:0
435_75_18:0:-1.74694e-09
435_105_17:1:0
435_105_17:0:-1.43908e-13
450_150_16:1:0
450_150_16:0:0
450_195_14:1:0
450_195_14:0:0
465_225_13:1:0
465_225_13:0:-1.88903e-13
465_255_12:1:-0.00109248
465_255_12:0:-4.67017e-18
495_390_-2:1:0
495_390_-2:0:0
225_-270_18:1:0
225_-270_18:0:0
225_-240_17:1:0
225_-240_17:0:-210
240_-210_16:1:0
240_-210_16:0:0
240_-180_15:1:0
240_-180_15:0:0
240_-150_14:1:0
240_-150_14:0:0
255_-135_14:1:0
255_-135_14:0:0
255_-120_13:1:0
255_-120_13:0:0
180_15_8:1:-9.60084
180_15_8:0:-28.9064
255_-165_14:1:0
255_-165_14:0:0
270_-105_11:1:0
270_-105_11:0:0
285_-225_10:1:0
285_-225_10:0:0
270_-45_9:1:0
270_-45_9:0:-1.94123
330_-180_21:1:0
330_-180_21:0:0
420_480_-6:1:0
420_480_-6:0:0
435_-75_21:1:0
435_-75_21:0:0
435_-60_21:1:0
435_-60_21:0:0
450_15_19:1:0
450_15_19:0:0
465_60_17:1:-7.0227e-08
465_60_17:0:-1.61131e-35
465_90_17:1:0
465_90_17:0:0
465_105_16:1:0
465_105_16:0:0
465_120_16:1:0
465_120_16:0:0
495_210_12:1:0
495_210_12:0:0
495_225_12:1:0
495_225_12:0:0
495_240_9:1:0
495_240_9:0:0
435_-180_23:1:0
435_-180_23:0:-210
435_-135_22:1:0
435_-135_22:0:0
450_-90_21:1:0
450_-90_21:0:0
450_-75_20:1:0
450_-75_20:0:0
450_-30_19:1:0
450_-30_19:0:0
465_-15_19:1:0
465_-15_19:0:0
465_45_17:1:0
465_45_17:0:0
480_60_16:1:0
480_60_16:0:0
480_90_15:1:0
480_90_15:0:0
480_120_14:1:0
480_120_14:0:0
495_135_14:1:0
495_135_14:0:0
495_150_13:1:0
495_150_13:0:0
15_45_-7:1:-0.0224578
15_45_-7:0:-0.318008
360_-270_24:1:0
360_-270_24:0:0
360_-240_23:1:0
360_-240_23:0:0
360_-225_23:1:0
360_-225_23:0:0
375_-195_22:1:0
375_-195_22:0:0
375_-150_21:1:0
375_-150_21:0:0
390_-15_18:1:-0.00502556
390_-15_18:0:-3.56449e-05
270_-135_24:1:-13.4642
270_-135_24:0:-1.1884
345_90_20:1:0
345_90_20:0:0
390_345_12:1:0
390_345_12:0:0
405_405_9:1:0
405_405_9:0:0
420_435_7:1:0
420_435_7:0:0
450_480_2:1:-8.13392e-06
450_480_2:0:-2.07442e-06
465_480_0:1:-3.57972e-06
465_480_0:0:-1.23939e-05
195_-165_19:1:-155.057
195_-165_19:0:-144.367
300_-45_14:1:-6.46933
300_-45_14:0:-4.58961
435_-270_24:1:0
435_-270_24:0:0
435_-240_23:1:0
435_-240_23:0:0
450_-150_21:1:0
450_-150_21:0:0
465_-60_19:1:0
465_-60_19:0:0
480_15_16:1:0
480_15_16:0:0
480_30_16:1:0
480_30_16:0:0
465_465_1:1:-4.56604e-05
465_465_1:0:-1.81489e-05
315_-225_24:1:0
315_-225_24:0:-210
330_-150_23:1:0
330_-150_23:0:0
330_-135_22:1:0
330_-135_22:0:0
315_45_19:1:-4.68607
315_45_19:0:-0.00815658
480_390_-2:1:0
480_390_-2:0:0
330_60_21:1:0
330_60_21:0:-0.00979746
360_240_16:1:0
360_240_16:0:0
375_330_13:1:0
375_330_13:0:0
435_480_3:1:-2.40302e-06
435_480_3:0:-1.27572e-05
450_480_1:1:-9.5071e-06
450_480_1:0:-2.47933e-05
450_480_0:1:-1.23384e-05
450_480_0:0:-2.56902e-05
480_435_-4:1:0
480_435_-4:0:0
465_480_1:1:-3.95116e-06
465_480_1:0:-1.91277e-06
345_-120_19:1:0
345_-120_19:0:-0.014574
420_-105_24:1:0
420_-105_24:0:0
420_-90_23:1:0
420_-90_23:0:0
420_-60_23:1:0
420_-60_23:0:0
420_-45_22:1:0
420_-45_22:0:0
435_-15_22:1:0
435_-15_22:0:0
435_45_20:1:0
435_45_20:0:0
450_465_5:1:-1.39885e-06
450_465_5:0:-5.73921e-13
450_105_18:1:0
450_105_18:0:0
465_180_16:1:0
465_180_16:0:0
465_195_16:1:0
465_195_16:0:0
480_255_14:1:0
480_255_14:0:0
480_270_13:1:0
480_270_13:0:0
495_315_11:1:0
495_315_11:0:0
255_-60_10:1:-13.5504
255_-60_10:0:-16.9812
360_270_15:1:0
360_270_15:0:-9.57811e-07
375_360_12:1:0
375_360_12:0:0
405_435_7:1:-0.00576883
405_435_7:0:-1.33941e-05
405_465_6:1:0
405_465_6:0:0
420_465_5:1:0
420_465_5:0:-7.56139e-06
435_495_2:1:-2.15215e-05
435_495_2:0:-3.97981e-05
450_375_-2:1:-0.0020128
450_375_-2:0:-2.30091e-05
450_360_-3:1:-2.70439e-06
450_360_-3:0:-3.25183e-08
345_225_15:1:0
345_225_15:0:0
450_390_-4:1:-0.00125282
450_390_-4:0:-2.05895e-05
450_375_-4:1:-9.66194e-05
450_375_-4:0:-9.45014e-05
360_-315_24:1:0
360_-315_24:0:0
375_-270_23:1:0
375_-270_23:0:0
375_-225_22:1:0
375_-225_22:0:0
405_-60_18:1:-2.01692e-05
405_-60_18:0:-1.6755e-08
195_-180_20:1:-122.352
195_-180_20:0:-51.1138
195_-150_19:1:-139.292
195_-150_19:0:-91.4733
210_-75_17:1:-21.3576
210_-75_17:0:-0.489599
270_-75_11:1:-7.28882
270_-75_11:0:-11.5693
285_-15_8:1:-5.63046
285_-15_8:0:-4.40417
405_120_18:1:0
405_120_18:0:0
210_15_9:1:-21.7379
210_15_9:0:-20.4006
255_-60_23:1:-5.70942
255_-60_23:0:-1.05109
270_60_20:1:0
270_60_20:0:0
285_195_17:1:0
285_195_17:0:0
300_270_14:1:-10.8952
300_270_14:0:-1.48218e-05
150_45_-3:1:0
150_45_-3:0:0
435_210_14:1:-0.0180369
435_210_14:0:-3.4116e-11
270_-60_23:1:0
270_-60_23:0:0
315_-285_23:1:0
315_-285_23:0:0
315_-255_23:1:0
315_-255_23:0:0
330_-210_22:1:0
330_-210_22:0:0
330_-165_21:1:0
330_-165_21:0:0
330_-150_20:1:0
330_-150_20:0:-0.171701
345_-105_19:1:-1.98218
345_-105_19:0:-210.002
285_495_-5:1:-4.96874
285_495_-5:0:-0.0445828
360_-330_24:1:0
360_-330_24:0:-210
360_-285_23:1:0
360_-285_23:0:0
375_-240_22:1:0
375_-240_22:0:0
405_-15_16:1:-2.01411e-05
405_-15_16:0:-2.30683e-08
300_-90_14:1:-1.91687
300_-90_14:0:-0.345459
165_255_8:1:0
165_255_8:0:0
315_165_18:1:-5.61767
315_165_18:0:-9.78581e-06
420_495_2:1:-4.72761e-05
420_495_2:0:-5.37169e-06
225_-225_15:1:0
225_-225_15:0:0
240_-180_14:1:0
240_-180_14:0:0
255_-105_11:1:-23.6967
255_-105_11:0:-210.074
405_480_-7:1:-0.0191412
405_480_-7:0:-0.000496463
345_195_17:1:-8.88342
345_195_17:0:-6.15539e-06
165_-30_11:1:-49.3695
165_-30_11:0:-102.9
450_465_-7:1:-1.43924e-05
450_465_-7:0:-2.145e-06
330_-105_24:1:-1.27777
330_-105_24:0:-0.040302
480_435_-7:1:-1.64923e-06
480_435_-7:0:-3.60921e-09
345_15_21:1:0
345_15_21:0:0
375_165_17:1:-0.277029
375_165_17:0:-5.48565e-12
390_240_15:1:-0.0741807
390_240_15:0:-4.7737e-12
405_315_12:1:-0.0191344
405_315_12:0:-3.10268e-06
405_330_11:1:-0.00897629
405_330_11:0:-8.79922e-06
420_390_8:1:-0.000479704
420_390_8:0:-8.87496e-07
435_405_7:1:-3.28886e-05
435_405_7:0:-7.57232e-10
435_420_6:1:-1.93841e-06
435_420_6:0:-2.14625e-09
450_435_4:1:-4.67209e-05
450_435_4:0:-1.74558e-07
450_450_3:1:-1.62526e-05
450_450_3:0:-4.16782e-06
435_45_21:1:0
435_45_21:0:0
450_450_5:1:-4.54131e-08
450_450_5:0:-1.19971e-12
225_-135_15:1:0
225_-135_15:0:0
375_495_1:1:-0.129594
375_495_1:0:-0.0033668
345_210_14:1:-0.723026
345_210_14:0:-0.000323257
225_-255_18:1:0
225_-255_18:0:0
240_-195_16:1:0
240_-195_16:0:0
435_390_-1:1:0
435_390_-1:0:-4.76373e-05
240_-165_15:1:0
240_-165_15:0:0
270_-240_11:1:0
270_-240_11:0:-0.00829256
240_-135_14:1:0
240_-135_14:0:0
255_-105_13:1:-18.6356
255_-105_13:0:-31.476
465_465_-7:1:-1.87894e-06
465_465_-7:0:-1.28486e-05
420_-15_16:1:-7.98433e-07
420_-15_16:0:-3.04787e-09
210_495_-5:1:0
210_495_-5:0:-31.0942
465_30_14:1:-1.44101e-12
465_30_14:0:-2.0518e-33
255_-45_10:1:-6.04496
255_-45_10:0:-11.332
270_-30_10:1:-9.61043
270_-30_10:0:-7.33734
195_-75_22:1:-43.5283
195_-75_22:0:-90.977
120_90_8:1:0
120_90_8:0:-11.3956
480_435_7:1:-2.46653e-08
480_435_7:0:-2.48159e-14
195_90_19:1:-102.994
195_90_19:0:-1.87651
390_195_15:1:-0.0294794
390_195_15:0:-4.85726e-06
420_315_10:1:-0.000107589
420_315_10:0:-1.33803e-07
360_105_17:1:-0.632552
360_105_17:0:-0.0130426
315_390_10:1:0
315_390_10:0:0
450_255_14:1:0
450_255_14:0:-2.54514e-16
450_345_-2:1:0
450_345_-2:0:0
450_345_-3:1:0
450_345_-3:0:0
285_-15_23:1:0
285_-15_23:0:0
300_75_20:1:-6.90406
300_75_20:0:-3.14623e-06
315_180_18:1:0
315_180_18:0:0
330_255_15:1:-8.58368
330_255_15:0:-2.33229e-05
420_495_0:1:-0.000152615
420_495_0:0:-4.42173e-05
300_-60_24:1:0
300_-60_24:0:-3.08065
315_60_21:1:-0.283889
315_60_21:0:-0.00030223
330_135_19:1:0
330_135_19:0:-0.000964991
360_300_14:1:0
360_300_14:0:0
375_345_12:1:-0.811381
375_345_12:0:-0.00178203
375_375_11:1:-0.240169
375_375_11:0:-5.57895e-07
435_480_2:1:-1.67387e-05
